2025-10-07 21:37:09,951 - __main__ - INFO - ================================================================================
2025-10-07 21:37:09,951 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 21:37:09,951 - __main__ - INFO - ================================================================================
2025-10-07 21:38:52,949 - __main__ - INFO - ================================================================================
2025-10-07 21:38:52,950 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 21:38:52,950 - __main__ - INFO - ================================================================================
2025-10-07 21:40:19,135 - __main__ - INFO - ================================================================================
2025-10-07 21:40:19,136 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 21:40:19,136 - __main__ - INFO - ================================================================================
2025-10-07 21:40:19,136 - __main__ - ERROR - Configuration error: Configuration validation failed:
  - LLM_API_KEY (Gemini) required (get from https://aistudio.google.com/apikey)
2025-10-07 22:36:50,786 - __main__ - INFO - ================================================================================
2025-10-07 22:36:50,786 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 22:36:50,786 - __main__ - INFO - ================================================================================
2025-10-07 22:36:50,794 - __main__ - INFO - Initializing HybridBail components...
2025-10-07 22:36:51,944 - qdrant_database - INFO - Connected to Qdrant at localhost:6333
2025-10-07 22:42:59,878 - __main__ - INFO - ================================================================================
2025-10-07 22:42:59,878 - __main__ - INFO - HybridBail: District Court Bail Decision Support System
2025-10-07 22:42:59,878 - __main__ - INFO - ================================================================================
2025-10-07 22:42:59,878 - __main__ - INFO - Initializing HybridBail components...
2025-10-07 22:43:00,221 - qdrant_database - INFO - Connected to Qdrant at localhost:6333
2025-10-07 22:43:06,895 - llm_integration - INFO - Initialized Gemini: gemini-2.0-flash-exp
2025-10-07 22:43:22,346 - __main__ - INFO - 
============================================================
2025-10-07 22:43:22,347 - __main__ - INFO - Processing category: Anticipatory Bail
2025-10-07 22:43:22,347 - __main__ - INFO - ============================================================
2025-10-07 22:43:22,349 - pdf_ingester - INFO - Found 50 PDF files in C:\\Me\\Main Bail Cases Folder\anticipatory bail
2025-10-07 22:43:22,746 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:22,747 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:22,747 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:22,748 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:22,748 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:22,749 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:22,749 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,207 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,208 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,208 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,208 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,208 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,208 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,209 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,618 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,619 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,620 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,620 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,620 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,621 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,621 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,621 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,622 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,623 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,623 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,623 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,624 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,625 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,626 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,626 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,626 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,627 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,627 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,628 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,629 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,630 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
2025-10-07 22:43:23,630 - pdfminer.pdfpage - WARNING - CropBox missing from /Page, defaulting to MediaBox
